"Patient_ID","Gini_Simpson","Entropy","CV"
"CID3586",0.21126589708718,0.535002422933182,1.4315388444285
"CID3838",0.140411215601463,0.461841310050817,1.80309183999564
"CID3921",0.2637760351054,0.667162444590543,1.61033986457451
"CID3941",0.483965029221847,0.976741164486503,0.253258530187258
"CID3946",0.339679773517884,0.832286472903079,1.4793155651307
"CID3948",0.198873891051942,0.517930628207067,1.45088507134999
"CID3963",0.0950131630681021,0.299726811741163,1.86902732197886
"CID4040",0.174452201629076,0.485423283647201,1.75202404606166
"CID4066",0.197348060159058,0.567563223316943,1.4532493692702
"CID4067",0.486991956913813,1.06361827071366,1.39867804347129
"CID4290A",0.496214952017486,1.02220245314031,0.875804039680859
"CID4398",0.1570681447516,0.429573741048654,1.51432933954863
"CID4461",0.450953257601824,1.30493238342905,1.82132233910377
"CID4463",0.507579665246895,1.06606801778395,0.846103720822082
"CID4465",0.51680473701768,1.45666251137923,1.66716165413624
"CID4471",0.314084508885604,0.781332847047453,1.25961093596983
"CID4495",0.351875797176061,0.792917479761581,1.45716474076464
"CID4513",0.0891292449305281,0.288071045021164,1.87740353335056
"CID4515",0.500637816416806,1.00840559296318,1.1532266237722
"CID4523",0.473996559744854,0.962152833092176,0.322511644782918
"CID4530N",0.507798410856862,1.0587878888648,0.845521821802441
"CID4535",0.444388327725238,0.91821165723212,0.471642543775526
"CID44041",0.423232737178884,0.886224320978642,0.554138115711654
"CID44971",0.271229974268142,0.661019033224206,1.59794872797489
"CID44991",0.364947709798092,0.817968969347834,1.43304299112419
"CID45171",0.45352615622843,0.945175805842188,0.979352999164277
