Patient_ID,Gini_Simpson,Entropy,CV
CID3586,0.093382031,0.317806059,1.606169624
CID3838,0.048241889,0.184485618,1.668206072
CID3921,0.007292561,0.038520846,1.722551443
CID3941,0.009755863,0.044664601,1.400348724
CID3946,0,0,0
CID3948,0,0,0
CID3963,0,0,0
CID4040,0.045670332,0.18070578,1.671670872
CID4066,0.02608367,0.123623513,2.199312861
CID4067,0.006416963,0.034682239,1.99142567
CID4290A,0.001845018,0.011560747,1.729652399
CID4398,0.011172832,0.050080721,1.398323522
CID4461,0.107960458,0.378048628,1.850462345
CID4463,0,0,0
CID4465,0.320541957,0.937451123,1.513420925
CID4471,0.013223602,0.06244998,1.714786806
CID4495,0.002820869,0.015408589,1.410218609
CID4513,0,0,0
CID4515,0.000848536,0.005366941,1.413013042
CID4523,0,0,0
CID4530N,0.003833239,0.020097467,1.408782113
CID4535,0,0,0
CID44041,0,0,0
CID44971,0.001354096,0.008109541,1.412297284
CID44991,0.001874852,0.010790215,1.411559631
CID45171,0.002364063,0.013212602,1.410866311
